id_no,temperatura,luminosidade,umidade,velx_vento,marca_tempo
4,18.43,665.47,31.88,5.59,2025-09-26 16:49:01
6,32.11,663.08,96.62,6.51,2025-09-26 16:50:01
18,33.32,687.21,60.55,3.02,2025-09-26 16:51:01
2,37.33,93.04,69.27,14.14,2025-09-26 16:52:01
13,15.55,126.65,44.62,10.39,2025-09-26 16:53:01
16,18.54,216.66,95.69,10.21,2025-09-26 16:54:01
16,37.1,88.13,48.38,8.84,2025-09-26 16:55:01
17,15.07,354.57,66.19,2.8,2025-09-26 16:56:01
7,24.99,170.51,25.02,2.39,2025-09-26 16:57:01
7,36.55,815.12,65.89,5.85,2025-09-26 16:58:01
